站点编号	站点	网页链接	站点数	联系方式站点类型	站点名称（logo）/账号名称（Facebook）	联系方式类型	手机	固话	邮箱	联系人	职位	公司名称（抓取）	地址（抓取）	标签（Facebook）	粉丝数（Facebook）	企业名称（工商）	统一码（工商）	法人姓名（工商）	一级行业分类（工商）	二级行业分类（工商）	注册地址-省（工商）	注册地址-市（工商）	注册地址-区（工商）	注册地址（工商）	注册资本（工商）	成立时间（工商）	备案官网（工商）	优先级
77	www.eigshowbeauty.com	https://www.facebook.com/makeupbrushlovers/	1	Facebook	eigshowbeauty	手机	86-18926459103	""	""	""	""	""	""	保健/美容	74	""	""	""	""	""	""	""	""	""	""	""	""	4
153	northdeerusa.com	https://www.facebook.com/Northdeerusa	1	Facebook	Northdeer	邮箱	""	""	northdeerusa@gmail.com	""	""	""	""	保健/美容	46	""	""	""	""	""	""	""	""	""	""	""	""	12
104	www.prodentshop.com	https://www.facebook.com/prodentintraoralcamera/	1	Facebook	Prodent Intraoral Camera	固话	""	03213526712	""	""	""	""	""	产品/服务	71	""	""	""	""	""	""	""	""	""	""	""	""	20
205	https://www.novoo-online.com	https://www.facebook.com/NOVOOUSA/	1	Facebook	NOVOO US	邮箱	""	""	info@novoo-online.com	""	""	""	""	电子产品	15	""	""	""	""	""	""	""	""	""	""	""	""	12
151	tabhome.com	https://www.facebook.com/tab.vacuum	1	Facebook	Tab.tech	邮箱	""	""	tab.vacuum@gmail.com	""	""	""	""	电子产品公司	21	""	""	""	""	""	""	""	""	""	""	""	""	12
63	www.queenieke.com	https://www.facebook.com/queeniekestore/	1	Facebook	Queenieke & Athletica	邮箱	""	""	social@queenieke.com	""	""	""	""	服装（品牌）	314	""	""	""	""	""	""	""	""	""	""	""	""	12
11	binbok.com	https://binbok.com/pages/contact-us	1	官方网站	BINBOK	邮箱	""	""	business@binbok.com	""	""	Hai Lu Zhi Xin(Shen Zhen)Co.,Ltd；	China · 广东 · 深圳；No. 27 Dafa Rd, Dafapu Community, Longgang Dist, Shenzhen	电子游戏	249	""	""	""	""	""	""	""	""	""	""	""	""	14
7	cigadesign.com	https://cigadesign.com/pages/event	1	官方网站	cigadesign.official	邮箱	""	""	pr@cigadesign.com	""	""	""	"""43F Building A, West Wing of Tanglang Plaza, Liuxian Avenue, Nanshan Distrct 518071 深圳市，广东省"""	珠宝/手表	1400	""	""	""	""	""	""	""	""	""	""	""	""	14
87	mogusuit.com	""	1	工商匹配	""	手机	86-18257132051	""	""	""	""	""	""	""	""	杭州铭科电子商务有限公司	91330108399937099F	吕国良	批发和零售业	零售业	浙江省	杭州市	滨江区	浙江省杭州市滨江区西兴街道缤纷街599号钱塘星宇大厦1幢901-6室	10.0	2014-06-05	""	8
224	www.alfabridal.com	https://www.facebook.com/alfabridalofficial/	1	Facebook	Alfabridal	邮箱	""	""	service@alfabridal.com	""	""	""	""	女装店	"""4,237"""	""	""	""	""	""	""	""	""	""	""	""	""	12
85	www.ntonpower.com	https://www.facebook.com/NTONPOWER.official/	1	Facebook	Ntonpower	邮箱	""	""	service@ntonpower.com	""	""	""	""	电子产品	4.5 万	""	""	""	""	""	""	""	""	""	""	""	""	12
181	lavawa.com	https://lavawa.com/pages/contact-us；https://www.facebook.com/officiallavawa	2	官方网站；Facebook	Lavawa；LAVAWA	邮箱	""	""	support@lavawa.com	""	""	""	UNIT 83,3/f YAU LEE CYR, NO 45 HOI YUEN RD KWUN TONG KL HONG KONG；	箱包公司	1380	""	""	""	""	""	""	""	""	""	""	""	""	12
3	www.normcorewares.com	https://www.facebook.com/normcorewares/	1	Facebook	normcorewares	邮箱	""	""	hello@normcorewares.com	""	""	""	美国纽约州纽约 · 德国，慕尼黑 · 加拿大安大略省多伦多	产品/服务	1495	""	""	""	""	""	""	""	""	""	""	""	""	12
178	www.suprent-us.com	""	1	工商匹配	""	邮箱	""	""	hr@8-oranges.com	法人	卢	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	9
267	cn.pizzaskateboards.com	https://www.facebook.com/pizzaskateboards	1	Facebook	Pizza Skateboards	邮箱	""	""	pizzaskateboards@gmail.com	""	""	""	""	服装（品牌）	"""5,999"""	""	""	""	""	""	""	""	""	""	""	""	""	12
2	nevstudio.com	https://www.facebook.com/nevstudioofficial/	1	Facebook	Nevstudio	手机	86-18005171608	""	""	""	""	深圳市帝迩科技有限公司	""	服装	4.6万	深圳市帝迩科技有限公司	91440300MA5DE04Q24	朱梅花	批发和零售业	批发业	广东省	深圳市	龙岗区	深圳市龙岗区吉华街道甘坑社区甘李二路9号金苹果创新园厂房A1701	100.0	2016-06-03	""	4
190	kitchoria.com	https://www.facebook.com/profile.php?id=100066758983130	1	Facebook	Kitchoria Eco Shop	固话	""	02132861889	""	""	""	""	""	零售购物	140	""	""	""	""	""	""	""	""	""	""	""	""	20
129	thesunnyzone.com	https://thesunnyzone.com/pages/about-us	1	官方网站	Thesunnyzone	手机	19712087191	""	""	""	""	""	""	产品/服务	9081	""	""	""	""	""	""	""	""	""	""	""	""	6
100	www.turewell.com	https://www.facebook.com/p/Turewell-100030696112128/?locale=ku_TR	1	Facebook	Turewell	邮箱	""	""	turewell@support.com	""	""	""	""	电子商务网站	77	""	""	""	""	""	""	""	""	""	""	""	""	12
162	eskute.es	https://www.facebook.com/eskutees；https://eskute.es/pages/contact-us	2	官方网站；Facebook	Eskute-es；Eskute Spain	邮箱	""	""	support@eskute.es	""	""	""	""	零售购物	1033	""	""	""	""	""	""	""	""	""	""	""	""	12
232	vegamour.cn	https://vegamour.cn/policies/terms-of-service	1	官方网站	VEGAMOUR CN	邮箱	""	""	support@vegamour.com	""	""	""	"""Budapest, Hungary"""	食品与饮料公司	217	""	""	""	""	""	""	""	""	""	""	""	""	14
178	www.suprent-us.com	""	1	工商匹配	""	固话	""	86-02085821186	""	法人	卢	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	17
142	aeezo.com	https://aeezo.com/pages/contact-us；https://www.facebook.com/aeezotech	2	官方网站；Facebook	AEEZO	邮箱	""	""	support@aeezo.com	""	""	""	""	电子产品	248	""	""	""	""	""	""	""	""	""	""	""	""	12
17	www.lunaswish.com	https://www.facebook.com/p/Lunas-Wish-100076319253036/	1	Facebook	Luna's Wish	邮箱	""	""	service@lunaswish.com	""	""	广州露娜科技有限公司	广州市荔湾区西增路63号D1210	服装公司	2295	广州露娜科技有限公司	91440101MA9UUDRW36	余鸿全	科学研究和技术服务业	专业技术服务业	广东省	广州市	荔湾区	广州市荔湾区西增路63号自编E8-5房(仅限办公)	50.0	2020-09-24	""	12
181	lavawa.com	https://lavawa.com/pages/contact-us	1	官方网站	LAVAWA	手机	86-13326492010	""	""	""	""	""	UNIT 83,3/f YAU LEE CYR, NO 45 HOI YUEN RD KWUN TONG KL HONG KONG；	箱包公司	1380	""	""	""	""	""	""	""	""	""	""	""	""	6
153	northdeerusa.com	https://www.facebook.com/Northdeerusa	1	Facebook	Northdeer	手机	17026828117	""	""	""	""	""	""	保健/美容	46	""	""	""	""	""	""	""	""	""	""	""	""	4
27	playvital.com	https://playvital.com/pages/about-us	1	官方网站	playvital	邮箱	""	""	service@playvital.com	""	""	""	中国广东省深圳市宝安区前进一路86号深信泰丰大厦1302室	电子游戏	358	""	""	""	""	""	""	""	""	""	""	""	""	14
178	www.suprent-us.com	""	1	工商匹配	""	手机	86-18711057571	""	""	""	""	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	8
180	ifanze.net	https://www.facebook.com/p/Ifanzenet-100071546700295/	1	Facebook	Ifanzenet	邮箱	""	""	tysonbryant1997@gmail.com	""	""	""	"""228 PARK AVE S 79525, York, NY, United States, New York"""	保健/美容	17	""	""	""	""	""	""	""	""	""	""	""	""	12
79	hobbymatehobby.com	https://hobbymatehobby.com/pages/about-us	1	官方网站	Hobbymate Hobby	固话	""	86-075583220363	""	""	""	""	；Rm 1708 Jiansheng Bldg B Block, #1 Pingji St Nanwan, Longgang Shenzhen, China	游戏/玩具	"""2,149"""	""	""	""	""	""	""	""	""	""	""	""	""	22
91	yicollection.com	https://www.facebook.com/YiCollectionJewelry/	1	Facebook	Yi Collection	手机	86-13916923330	""	""	""	""	""	""	珠宝/手表	499	""	""	""	""	""	""	""	""	""	""	""	""	4
227	bluebirdbaby.co	https://bluebirdbaby.co/pages/contact-us；https://www.facebook.com/bluebirdbaby.official/	2	官方网站；Facebook	BlueBird Baby ；BlueBird Baby	邮箱	""	""	hello@bluebirdbaby.co	""	""	""	""	婴儿用品/儿童用品	1692	""	""	""	""	""	""	""	""	""	""	""	""	12
210	vounot.de	https://vounot.de	1	官方网站	VOUNOT DE	邮箱	""	""	service.de@vounotco.com	""	""	""	"""1 rue de la sablonnière, Caen, France"""	兴趣	167	""	""	""	""	""	""	""	""	""	""	""	""	14
4	www.firmabs.com	""	1	工商匹配	""	手机	86-18820619445	""	""	法人	周	""	""	""	""	马甲线（深圳）服饰有限公司	91440300MA5FTXTC02	周星彤	批发和零售业	零售业	广东省	深圳市	南山区	深圳市南山区桃源街道平山社区丽山路65号平山民企科技园3栋401	100.0	2019-09-25	firmabs.com.cn	1
184	starpony.com	https://www.facebook.com/profile.php?id=100064045844741&paipv=0&eav=AfZu5rDArn3JjoM84DJ3JatsEvzAt-I0vHiuvBpPaQulKOYm87OLBbdN6JGqgCJEOoA；https://starpony.com/pages/contacts-us	2	官方网站；Facebook	Starpony	邮箱	""	""	aftersales-am@starpony.com	""	""	""	""	戏/玩具	22	""	""	""	""	""	""	""	""	""	""	""	""	12
206	hmsubvers.com	https://www.facebook.com/HMsubvers/；https://hmsubvers.com/pages/about-us	2	官方网站；Facebook	HMsubvers；HMsubvers 	邮箱	""	""	support@hmsubvers.com	""	""	""	"""ROOM 301-2，HANG SENG WANCHAI BUILDING, 3RD FLOOR, NO.200 HENNESSY ROAD,WANCHAI,HK, Hong Kong, Hong Kong"""	地方性商家	258	""	""	""	""	""	""	""	""	""	""	""	""	12
157	jeemak.com	https://jeemak.com/pages/contact-us	1	官方网站	Jeemak	邮箱	""	""	vernicepodsz@gmx.com	""	""	Hongkong Toguard Electronics Co., Ltd.；	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	14
5	extremerate.com	https://www.facebook.com/ExtremeRate/	1	Facebook	ExtremeRate.com	固话	""	86-075582727920	""	""	""	""	""	电子游戏	2.3万	""	""	""	""	""	""	""	""	""	""	""	""	20
112	cycorldpro.com	https://cycorldpro.com/pages/about-us；https://www.facebook.com/CycorldPro	2	官方网站；Facebook	CycorldPro	邮箱	""	""	info@cycorldpro.com	""	""	""	""	服装（品牌）	2093	""	""	""	""	""	""	""	""	""	""	""	""	12
178	www.suprent-us.com	""	1	工商匹配	""	手机	86-13580362868	""	""	""	周	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	8
132	jjleatherhouse.com	https://www.facebook.com/JJleatherhouse/	1	Facebook	JJleatherhouse	手机	86-15153187700	""	""	""	""	""	""	电子商务网站	541	""	""	""	""	""	""	""	""	""	""	""	""	4
143	tccplayingcard.com	https://tccplayingcard.com/pages/about-shipping-2；https://www.facebook.com/tccplayingcards/	2	官方网站；Facebook	TCC Playing Cards	邮箱	""	""	contact@tccplayingcard.com	""	""	""	""	游戏/玩具	1596	""	""	""	""	""	""	""	""	""	""	""	""	12
55	aolithium.com	https://aolithium.com/pages/contact-us	1	官方网站	Aolithium®-US	邮箱	""	""	sales@aolithium.com	""	""	Aolithium Inc；	1401 21ST STREET SUITE RSACRAMENTO, CA 95811-5226；1401 21ST STREET SUITE R	太阳能服务	443	""	""	""	""	""	""	""	""	""	""	""	""	14
175	gmclimbing.com	https://gmclimbing.com/pages/about-gm-climbing	1	官方网站	GM CLIMBING	邮箱	""	""	gmclimbingservice@gmail.com	""	""	""	""	产品/服务	233	""	""	""	""	""	""	""	""	""	""	""	""	14
178	www.suprent-us.com	""	1	工商匹配	""	手机	86-18814132788	""	""	法人	卢	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	1
150	www.hyphen-x.com	https://www.facebook.com/HyphenXDirect	1	Facebook	Hyphen-X	固话	""	02233089388	""	""	""	""	"""2103 W 32ND AVE DENVER, CO 80211, Denver, CO, United States, Colorado"""	电子产品	20	""	""	""	""	""	""	""	""	""	""	""	""	20
45	www.jasionbike.com	https://www.facebook.com/jasionebikes/	1	Facebook	Jasion Ebikes	邮箱	""	""	support@jasionbike.com	""	""	""	""	自行车行	2.5万	""	""	""	""	""	""	""	""	""	""	""	""	12
147	www.trendproms.me	https://www.facebook.com/trendproms/	1	Facebook	Trendproms.com	邮箱	""	""	service@trendproms.com	""	""	""	""	服装（品牌）	39万	""	""	""	""	""	""	""	""	""	""	""	""	12
118	www.acmejoy.it	https://www.facebook.com/p/Acmejoy-studio-100065779230101/	1	Facebook	Acmejoy studio	邮箱	""	""	liz20210629jl@gmail.com	""	""	""	""	零售购物	41	""	""	""	""	""	""	""	""	""	""	""	""	12
62	aquacrestfilter.com	https://aquacrestfilter.com/	1	官方网站	aquacrestfilters	手机	18883523558	""	""	""	""	""	Unit 2, Building 16, No 401 Mingcheng Road Room 1102 Qingdao, China, 266000；	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6
160	ikstar.co.jp	https://www.facebook.com/IkstarJP/	1	Facebook	Ikstar アイケイスター	固话	""	81503702	""	""	""	""	""	家庭用品商店	6	""	""	""	""	""	""	""	""	""	""	""	""	20
20	www.varnail.com	https://www.facebook.com/varnailcom/	1	Facebook	VARNAIL	邮箱	""	""	sales@varnail.com	""	""	""	""	美容、美妆与个人护理	3387	""	""	""	""	""	""	""	""	""	""	""	""	12
256	cn.akris.com	https://www.facebook.com/AkrisOfficial	1	Facebook	Akris	邮箱	""	""	ecom.ch@akris.com	""	""	AKRIS AG	""	公司	4 万	""	""	""	""	""	""	""	""	""	""	""	""	12
47	yandwofficial.com	https://yandwofficial.com/pages/contact-us	1	官方网站	YANDW	邮箱	""	""	service@yandwofficial.com	""	""	""	"""361 Falls Rd #7088, Grafton, WI 53024, USA (not return address)""；361 Falls Rd #7088, Grafton, WI 53024, USA (not return address)"	服装（品牌）	""	""	""	""	""	""	""	""	""	""	""	""	""	14
114	www.diivoosmart.com	https://www.facebook.com/DiivooSmartint/	1	Facebook	Diivoo Smart	邮箱	""	""	support@diivoosmart.com	""	""	""	""	电子商务网站	2835	""	""	""	""	""	""	""	""	""	""	""	""	12
228	floridaile.com	https://floridaile.com/pages/about-us；https://www.facebook.com/p/Floridaile-wow-100085801444428/?paipv=0&eav=AfYdRKYhCFvKNjMpB1y0XsiL10DLEUm4xoE6hJXc3jqQSKvMd9-1kwnSAQCzyAPpi8M&_rdr	2	官方网站；Facebook	Floridaile wow ；floridaile	邮箱	""	""	service@floridaile.com	""	""	""	""	美容、美妆与个人护理	129	""	""	""	""	""	""	""	""	""	""	""	""	12
99	odkhome.com	https://www.facebook.com/p/Odkhome-100063715734423/；https://odkhome.com/pages/contact-us	2	官方网站；Facebook	ODK Home；Odkhome	邮箱	""	""	odkmarket@outlook.com	""	""	""	6/FMANULIFE  PLACE 348 KWUN TONG ROAD KL    Hong Kong (HK)    999077 CN；"Los Angeles, CA, United States, California"	家具	1.8万	""	""	""	""	""	""	""	""	""	""	""	""	12
39	www.binize.com	https://www.facebook.com/BinizeOfficial/	1	Facebook	Binize	手机	86-16602204602	""	""	""	""	""	"""Room 1302, Building 2, Beichen Building, No. 366, Jinjing Road, Beichen District, Tianjin China 300400"""	电子产品	3656	""	""	""	""	""	""	""	""	""	""	""	""	4
112	cycorldpro.com	https://cycorldpro.com/pages/about-us	1	官方网站	CycorldPro	邮箱	""	""	support@cycorldpro.com	""	""	""	""	服装（品牌）	2093	""	""	""	""	""	""	""	""	""	""	""	""	14
93	idnhair.com	https://www.facebook.com/IDNHAIR/	1	Facebook	IDN HAIR	手机	18606028338	""	""	""	""	""	""	假发店	55	""	""	""	""	""	""	""	""	""	""	""	""	4
208	zdeerlab.com	https://www.facebook.com/zdeerglobal/	1	Facebook	Zdeer Global	邮箱	""	""	info@zdeerlab.com	""	""	""	""	品牌	35	""	""	""	""	""	""	""	""	""	""	""	""	12
253	cn-butlerluxury.glopalstore.com	https://www.facebook.com/ButlerLuxury/	1	Facebook	Butler Luxury	手机	18883193431	""	""	""	""	""	""	产品/服务	"""2,056"""	""	""	""	""	""	""	""	""	""	""	""	""	4
188	jetechband.com	https://jetechband.com/pages/contact-us	1	官方网站	jetechband	邮箱	""	""	service@jetechband.com	""	""	""	801, Rujun Building, 105 Zhongxing Road, Ma'antang Community, Bantian Street, Longgang District, Shenzhen City,Guangdong Province,    China；	""	""	""	""	""	""	""	""	""	""	""	""	""	""	14
218	www.mokky.fi	https://www.facebook.com/mokkyfashion/	1	Facebook	Mokky	固话	""	44161832	""	""	""	""	"""29 Gordon Street, London, United Kingdom"""	零售公司	"""8,665"""	""	""	""	""	""	""	""	""	""	""	""	""	20
211	worldcrochetflowers.com	https://worldcrochetflowers.com/pages/about-us；https://www.facebook.com/Worldcrochetflowers/	2	官方网站；Facebook	lovercrochetflower；Worldcrochetflowers	固话	""	02133421206	""	""	""	""	""	工艺美术品商店	0	""	""	""	""	""	""	""	""	""	""	""	""	20
264	cn.buyenov.com	https://www.facebook.com/buyenov	1	Facebook	Buy Enovid	邮箱	""	""	info@buyenov.com	""	""	""	""	健康与保养网站	121	""	""	""	""	""	""	""	""	""	""	""	""	12
67	www.puffercase.store	https://www.facebook.com/puffercaseshop/	1	Facebook	Puffercase.store	邮箱	""	""	admin@mystella.store	""	""	""	""	零售购物	38	""	""	""	""	""	""	""	""	""	""	""	""	12
151	tabhome.com	https://www.facebook.com/tab.vacuum	1	Facebook	Tab.tech	手机	14145637324	""	""	""	""	""	""	电子产品公司	21	""	""	""	""	""	""	""	""	""	""	""	""	4
186	www.pinkfad.com	https://www.facebook.com/pinkfad/?locale=zh_CN	1	Facebook	Pinkfad	固话	""	44161850	""	""	""	""	""	服装（品牌）	71	""	""	""	""	""	""	""	""	""	""	""	""	20
127	www.lunarlamps.com	https://www.facebook.com/lunarlamps	1	Facebook	Lunar Lamps	邮箱	""	""	service@lunarlamps.com	""	""	""	""	礼品店	517	""	""	""	""	""	""	""	""	""	""	""	""	12
63	www.queenieke.com	https://www.facebook.com/queeniekestore/	1	Facebook	Queenieke & Athletica	固话	""	02137857028	""	""	""	""	""	服装（品牌）	314	""	""	""	""	""	""	""	""	""	""	""	""	20
72	jonxifon.com	""	1	工商匹配	""	邮箱	""	""	17775243876@163.com	""	""	""	""	""	""	滁州凯尔福电子商务有限公司	91341124MA2TEP9GX5	曹伟枫	批发和零售业	零售业	安徽省	滁州市	全椒县	安徽省滁州市全椒县襄河镇椒陵大道168号颐高新天地乐淘城电商展示中心202号商铺	10.0	2019-01-23	""	16
178	www.suprent-us.com	""	1	工商匹配	""	邮箱	""	""	839928854@qq.com	""	卢	""	""	""	""	八橙科技（广州）有限公司	91440106MA59DYL871	卢祥	科学研究和技术服务业	研究和试验发展	广东省	广州市	天河区	广州市天河区高唐路229号-(部位:802房)(仅限办公)	1000.0	2016-07-22	8-oranges.com	16
17	www.lunaswish.com	""	1	工商匹配	""	手机	86-17520070200	""	""	""	""	""	""	""	""	广州露娜科技有限公司	91440101MA9UUDRW36	余鸿全	科学研究和技术服务业	专业技术服务业	广东省	广州市	荔湾区	广州市荔湾区西增路63号自编E8-5房(仅限办公)	50.0	2020-09-24	""	8
201	www.smd-salon.com	""	1	工商匹配	""	邮箱	""	""	2586757597@qq.com	""	""	""	""	""	""	深圳市尚致远科技有限公司	91440300MA5FU12L0F	陈楠	批发和零售业	零售业	广东省	深圳市	南山区	深圳市南山区招商街道沿山社区沿山路43号创业壹号大楼A栋107室(入驻深圳网博商务秘书有限公司)	10.0	2019-09-26	""	16
134	eskute.de	https://eskute.de	1	官方网站	Eskute DE	邮箱	""	""	casey@eskute.com	""	""	""	"""Kirschgarten 20, 55116 Mainz, Mainz, Germany"""	产品/服务	3796	""	""	""	""	""	""	""	""	""	""	""	""	14
266	tr.sinocare.com	https://www.facebook.com/SinocareOfficial/	1	Facebook	Sinocare	手机	86-18570079401	""	""	""	""	""	""	医疗与健康	49万	""	""	""	""	""	""	""	""	""	""	""	""	4
82	www.makelifeasy.com	https://www.facebook.com/easylifemake/	1	Facebook	Makelifeasy	邮箱	""	""	service@makelifeasy.com	""	""	""	""	购物中心	1.4 万	""	""	""	""	""	""	""	""	""	""	""	""	12
70	www.homelody.net	https://www.facebook.com/HomelodyDirekt/	1	Facebook	Homelody	邮箱	""	""	service@homelody.net	""	""	""	""	家居用品	"""1,713"""	""	""	""	""	""	""	""	""	""	""	""	""	12
132	jjleatherhouse.com	https://jjleatherhouse.com/pages/contact-us	1	官方网站	JJLeatherHouse	固话	""	04129904335	""	""	""	""	""	电子商务网站	541	""	""	""	""	""	""	""	""	""	""	""	""	22
188	jetechband.com	https://jetechband.com/pages/contact-us	1	官方网站	jetechband	手机	15045355338	""	""	""	""	""	801, Rujun Building, 105 Zhongxing Road, Ma'antang Community, Bantian Street, Longgang District, Shenzhen City,Guangdong Province,    China；	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6
217	innaroma.co	https://www.facebook.com/innaromaUS/?locale=mt_MT；https://innaroma.co/policies/contact-information	2	官方网站；Facebook	Innaroma；Innaroma	手机	13103027764	""	""	""	""	Physical address: Trend Valley Tech Co., Ltd., no.10 Kexing Road, Shen Zhen Shi, Guangdong, China；	"""6300 Canterbury Drive, 202, Culver City, CA, United States, California""；Trend Valley Tech Co., Ltd., no.10 Kexing Road, Shen Zhen Shi, Guangdong, China"	电子商务网站	1	""	""	""	""	""	""	""	""	""	""	""	""	4
56	etoplus.com	https://etoplus.com/pages/contact-us	1	官方网站	TOPLUS	手机	18009467440	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6
68	diamondpaintingpro.com	https://diamondpaintingpro.com/pages/contact-us	1	官方网站	Diamondpaintingpro	手机	19178183088	""	""	""	""	""	""	家居装饰	584	""	""	""	""	""	""	""	""	""	""	""	""	6
208	zdeerlab.com	https://www.facebook.com/zdeerglobal/	1	Facebook	Zdeer Global	手机	86-17343266958	""	""	""	""	""	""	品牌	35	""	""	""	""	""	""	""	""	""	""	""	""	4
215	bellababy-med.com	https://bellababy-med.com/pages/contact-us	1	官方网站	Bellababy	邮箱	""	""	service-eu@bellababy-med.com	""	""	""	""	幼儿用品/儿童用品	"""1,375"""	""	""	""	""	""	""	""	""	""	""	""	""	14
210	vounot.de	https://vounot.de；https://www.facebook.com/vounot	2	官方网站；Facebook	VOUNOT DE；Vounot.fr	固话	""	033278880113	""	""	""	""	"""1 rue de la sablonnière, Caen, France"""	兴趣	167	""	""	""	""	""	""	""	""	""	""	""	""	20
55	aolithium.com	https://www.facebook.com/profile.php?id=100093723606405	1	Facebook	Aolithium	手机	16152666774	""	""	""	""	Aolithium Inc；	1401 21ST STREET SUITE RSACRAMENTO, CA 95811-5226；1401 21ST STREET SUITE R	太阳能服务	443	""	""	""	""	""	""	""	""	""	""	""	""	4
142	aeezo.com	https://www.facebook.com/aeezotech	1	Facebook	AEEZO	固话	""	86-66660702	""	""	""	""	""	电子产品	248	""	""	""	""	""	""	""	""	""	""	""	""	20
1	www.hexgaming.com	https://www.facebook.com/hexcontroller/about	1	Facebook	HexGaming	手机	18005171608	""	""	""	""	""	"""Awlsbury Circle, FullertonCA 92833, United States"""	电子游戏	2432	""	""	""	""	""	""	""	""	""	""	""	""	4
101	dinolize.com	https://www.facebook.com/Dinolize/；https://dinolize.com/pages/about-us	2	官方网站；Facebook	Dinolize	邮箱	""	""	info@dinolize.com	""	""	青岛煜佳烨成商贸有限公司；Qingdao Yujia Yecheng Trading Limited.	No.42 Baifu Road, Xifu Town, Chengyang District, Qingdao City, Shandong Province, China；"No.42 Baifu Road, Xifu Town, Chengyang District, Qingdao City, Shandong Province, China, China · 山东 · 青岛"	""	931	青岛煜佳烨成商贸有限公司	91370214MA3N3MPRXU	丁军	批发和零售业	批发业	山东省	青岛市	城阳区	山东省青岛市城阳区惜福镇街道百福路42号	50.0	2018-05-09	""	12
180	ifanze.net	https://ifanze.net/pages/contact-us-1	1	官方网站	iFanze	邮箱	""	""	ifanzeservice@gmail.com	""	""	""	"""228 PARK AVE S 79525, York, NY, United States, New York"""	保健/美容	17	""	""	""	""	""	""	""	""	""	""	""	""	14
87	mogusuit.com	""	1	工商匹配	""	固话	""	86-057187333901	""	法人	吕	""	""	""	""	杭州铭科电子商务有限公司	91330108399937099F	吕国良	批发和零售业	零售业	浙江省	杭州市	滨江区	浙江省杭州市滨江区西兴街道缤纷街599号钱塘星宇大厦1幢901-6室	10.0	2014-06-05	""	17
187	www.puresmusic.com	https://www.facebook.com/puresmusic	1	Facebook	PureDrum空靈鼓	手机	17073403891	""	""	""	""	""	""	产品/服务	3.9万	""	""	""	""	""	""	""	""	""	""	""	""	4
209	www.vestidobello.com	https://www.facebook.com/vestidobello	1	Facebook	Vestidobello.com	邮箱	""	""	service@vestidobello.com	""	""	""	""	服装（品牌）	74 万	""	""	""	""	""	""	""	""	""	""	""	""	12
18	iaohi.com	https://www.facebook.com/AohiGlobal/	1	Facebook	AOHI	手机	86-18002632569	""	""	""	""	""	香港湾仔告士打道160号OTB大厦25楼	电子产品	2.4万	""	""	""	""	""	""	""	""	""	""	""	""	4
84	www.haimont.com	https://www.facebook.com/haimontsup/	1	Facebook	Haimont	邮箱	""	""	service@haimont.com	""	""	""	""	运动	18	""	""	""	""	""	""	""	""	""	""	""	""	12
61	tsrete.com	https://tsrete.com/pages/our-story；https://www.facebook.com/tsrete/	2	官方网站；Facebook	Tsrete ；Tsrete	邮箱	""	""	help@tsrete.com	""	""	""	15350 Stafford StreetIndustry, CA 91744, US；"15350 Stafford Street Industry, CA 91744, US, New York, NY, United States, New York"	婴儿用品/儿童用品	176	""	""	""	""	""	""	""	""	""	""	""	""	12
176	uneede.cc	https://uneede.cc/pages/contact-1	1	官方网站	UNEEDE	邮箱	""	""	info@uneede.cc	""	""	""	""	物服务	1206	""	""	""	""	""	""	""	""	""	""	""	""	14
65	ibroderiediamant.fr	https://ibroderiediamant.fr/pages/contactez-nous；https://www.facebook.com/Ibroderie/?locale=fr_FR	2	官方网站；Facebook	IBroderieDiamant.fr；Ibroderiediamant	邮箱	""	""	sales@ibroderiediamant.fr	""	""	""	""	兴趣	"""9,232"""	""	""	""	""	""	""	""	""	""	""	""	""	12
50	lkprotector.com	https://lkprotector.com/pages/contact-us	1	官方网站	lkprotector	邮箱	""	""	support@lkprotector.com	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	14
230	www.klatre.co	https://www.facebook.com/Klatre.official/	1	Facebook	Klatre	邮箱	""	""	marketing@klatre.co	""	""	""	""	电子产品	"""2,094"""	""	""	""	""	""	""	""	""	""	""	""	""	12
